importateur,npa,commune,canton,litres_rouge,litres_blanc,litres_total,noga_code,noga_label,commentaire,groupe,pays
PICCOLI FRUTTI,7748,Campascio,GR,3222.0,0.0,3222.0,46.31A,Commerce de gros de fruits et légumes,,,CH
espavino gmbh,7152,Sagogn,GR,2176.0,1036.0,3212.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Duarte et Cie Sàrl,1201,Genève,GE,2844.0,347.0,3191.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Heres Wine GmbH,8008,Zürich,ZH,2390.0,797.0,3187.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Caviar House Airport Premium,1215,Genève,GE,1287.0,1899.0,3186.0,56.10A,"Restaurants, cafés et salons de thé",,Avolta,CH
BASHA GmbH,4054,Basel,BS,1058.0,2127.0,3185.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
A.M. IMPORT Mastrogiovanni,6020,Emmenbrücke,LU,2712.0,473.0,3185.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
delfiore vini di Del Fiore Andrea,6932,Breganzona,TI,2129.0,1055.0,3184.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
HS MULTISERVICES Sàrl,1228,Plan-les-Ouates,GE,0.0,3173.0,3173.0,81.21Z,Nettoyage général courant des bâtiments,,,CH
Hollys Wilädeli Hollenstein,9053,Teufen AR,AR,700.0,2450.0,3150.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Bleue-Verte SA,2740,Moutier,BE,1800.0,1350.0,3150.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ôcave Sàrl,1205,Genève,GE,2667.0,468.0,3135.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
RGVins Riat Raphaël,2950,Courgenay,JU,2659.0,473.0,3132.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Grandjean Trading,3084,Wabern,BE,2652.0,462.0,3114.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Gregor Schönau Weinhandel,4944,Auswil,BE,680.0,2408.0,3088.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
ROCK N BOLLA SAGL,6918,Figino,TI,1115.0,1964.0,3079.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
NONNA ITALIA di Alessio Esposito,6314,Unterägeri,ZG,1839.0,1209.0,3048.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Vin Franc Sàrl,1006,Lausanne,VD,2383.0,659.0,3042.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
ViniAmo n.a. Sagl,6817,Maroggia,TI,887.0,2138.0,3025.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Le Pinardier Sàrl,2300,La Chaux-de-Fonds,NE,2190.0,833.0,3023.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Creanet Sàrl,1162,St-Prex,VD,2520.0,492.0,3012.0,62.01Z,Programmation informatique,,,CH
Ciausoiu Vinothek,8055,Zürich,ZH,2088.0,924.0,3012.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Wiichäller AG,8730,Uznach,SG,1591.0,1404.0,2995.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Elie Gazzar S.A.,1024,Ecublens VD,VD,2710.0,271.0,2981.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
HOREC TPR Sàrl,1024,Ecublens VD,VD,2543.0,432.0,2975.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
vom Fass AG,9428,Walzenhausen,AR,2123.0,813.0,2936.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Wyhuus am Rhy GmbH,4052,Basel,BS,924.0,2003.0,2927.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Roandi Vinos GmbH,8716,Schmerikon,SG,2004.0,906.0,2910.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ibex Gin SA,1936,Verbier,VS,1944.0,965.0,2909.0,11.01A,Distillation d'alcools,Distillerie artisanale suisse (Grisons) fabriquant ses propres recettes de gins et spiritueux,,CH
LUMI-Wein GmbH,9306,Freidorf TG,TG,2765.0,135.0,2900.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
ViNIANi Franco Iani,2503,Biel/Bienne,BE,2184.0,716.0,2900.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Epicurious brothers Sàrl,1207,Genève,GE,1661.0,1238.0,2899.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Molitor Weinhandel,4417,Ziefen,BL,260.0,2637.0,2897.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Catessa Sagl,6915,Pambio-Noranco,TI,1364.0,1518.0,2882.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Borges Mouralinho Barao Weine,4143,Dornach,BL,2858.0,23.0,2881.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Martial Large,1820,Montreux,VD,0.0,2880.0,2880.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Le Mat de Cocagne SARL,1228,Plan-les-Ouates,GE,704.0,2175.0,2879.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cave Girardet,1132,Lully VD,VD,2475.0,400.0,2875.0,11.02A,Vinification (Production de vin),"Domaine viticole et encaveur (Suisse romande) assurant le pressurage, l'élevage en cave et la mise en bouteille de sa récolte",,CH
Meier Getränke AG,9485,Nendeln,FL,621.0,2237.0,2858.0,46.34A,Commerce de gros de boissons alcoolisées,,,LI
Ralph Rutz,9300,Wittenbach,SG,2250.0,608.0,2858.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Osiris Vins et Spiritueux SA,1023,Crissier,VD,1411.0,1442.0,2853.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
SOVEREIGN INVEST GmbH,6062,Wilen (Sarnen),OW,1869.0,980.0,2849.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
General Logistics Services AG,4053,Basel,BS,1797.0,1040.0,2837.0,52.29A,Affrètement et organisation des transports,,,CH
"Guido Lengen ""artebacco""",8114,Dänikon,ZH,2086.0,743.0,2829.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
TSF Strategy GmbH,5015,Erlinsbach SO,SO,669.0,2151.0,2820.0,70.22Z,Conseil pour les affaires et autres conseils de gestion,,,CH
Reichle Wein GmbH,4655,Stüsslingen,SO,1517.0,1301.0,2818.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Kuoni Hiestand Weinhandlung,3122,Kehrsatz,BE,495.0,2320.0,2815.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
FirstWine AG,6052,Hergiswil NW,NW,2636.0,158.0,2794.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Mr. Presidente GmbH,8953,Dietikon,ZH,2781.0,0.0,2781.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Landinvest AG,6302,Zug,ZG,1067.0,1710.0,2777.0,68.20B,Location d'autres biens immobiliers,,,CH
HL Le Mirador International SA,1801,Le Mont-Pèlerin,VD,2754.0,18.0,2772.0,55.10A,Hôtels et hébergement similaire,"Structure liée au complexe hôtelier de luxe Le Mirador (Mont-Pèlerin, VD), actif dans l'hôtellerie de prestige et le bien-être.",,CH
weinmärt.ch ag,8706,Meilen,ZH,1803.0,968.0,2771.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
HSH Delivery SA,6900,Massagno,TI,1154.0,1616.0,2770.0,53.20A,Autres activités de poste et de courrie,,,CH
GinoSano SA,1212,Grand-Lancy,GE,1690.0,1074.0,2764.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
SB Vins et Dégustations Stéphane,1066,Epalinges,VD,1346.0,1413.0,2759.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Gattoni Marzio Impresa Generale SA,6563,Mesocco,TI,1097.0,1662.0,2759.0,41.20A,Construction de bâtiments résidentiels et tertiaires,"Entreprise générale du bâtiment active dans la maçonnerie, la rénovation et le génie civil (Tessin).",,CH
Origin Global Distribution Inc.,1963,Vétroz,VS,2438.0,315.0,2753.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Notariat Dr. Reto Erdin,5610,Wohlen AG,AG,2732.0,0.0,2732.0,69.10A,Activités juridiques,,,CH
Weyermann,3700,Spiez,BE,1702.0,1028.0,2730.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Neumarkt Wein GmbH,8001,Zürich,ZH,1528.0,1202.0,2730.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
La Sella Sagl,7742,Poschiavo,GR,2725.0,0.0,2725.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
VINS FINS LABELLA,1212,Grand-Lancy,GE,2020.0,693.0,2713.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
LANDI Chénens Société coopérative,1744,Chénens,FR,2642.0,69.0,2711.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,,FENACO,CH
Vall'doAido GmbH,4625,Oberbuchsiten,SO,1801.0,905.0,2706.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Copar Food & Beverages SA,6915,Pambio-Noranco,TI,2700.0,0.0,2700.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Flair Relocations GmbH,4153,Reinach BL,BL,450.0,2250.0,2700.0,74.90B,Autres activités professionnelles n.c.a.,,,CH
mettler vaterlaus gmbh,8006,Zürich,ZH,1259.0,1436.0,2695.0,70.21Z,Relations publiques et communication,"Agence conseil réputée, éditrice de revues spécialisées (comme Vinum) et organisatrice de grands concours viticoles (Grand Prix du Vin Suisse).",,CH
Eurovin GmbH,5070,Frick,AG,2465.0,227.0,2692.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
AR Bio vins Sàrl,2800,Delémont,JU,2105.0,581.0,2686.0,,,,,CH
EDI THE NOSE GmbH,8712,Stäfa,ZH,1701.0,981.0,2682.0,,,,,CH
Restaurant Traube Arno Sgier,4632,Trimbach,SO,725.0,1952.0,2677.0,,,,,CH
RAFEKO Holding AG,6010,Kriens,LU,0.0,2673.0,2673.0,,,,,CH
Amphora Wineries AG,8808,Pfäffikon SZ,SZ,2673.0,0.0,2673.0,,,,,CH
Starview GmbH,3006,Bern,BE,2214.0,450.0,2664.0,,,,,CH
gäse vins DELAQUIS,3014,Bern,BE,2421.0,243.0,2664.0,,,,,CH
Storni SA,6950,Tesserete,TI,1531.0,1121.0,2652.0,,,,,CH
PODERI SORI AG,8126,Zumikon,ZH,2250.0,396.0,2646.0,,,,,CH
Felicious Käse & Wein GmbH,6330,Cham,ZG,2642.0,0.0,2642.0,,,,,CH
Amelie Group AG,8852,Altendorf,SZ,2338.0,286.0,2624.0,,,,,CH
TANNINREICH GmbH,5400,Baden,AG,2286.0,332.0,2618.0,,,,,CH
Salwey GmbH,3098,Köniz,BE,1845.0,773.0,2618.0,,,,,CH
STIMOR SA,6922,Morcote,TI,1800.0,810.0,2610.0,,,,,CH
A. & M. Utzinger,8180,Bülach,ZH,1769.0,835.0,2604.0,,,,,CH
Mille Cose GmbH,8496,Steg im Tösstal,ZH,1879.0,716.0,2595.0,,,,,CH
CUBETA Sàrl,1218,Le Grand-Saconnex,GE,2171.0,423.0,2594.0,,,,,CH
L' Art du Vin Thomas Reichle,4655,Stüsslingen,SO,1931.0,653.0,2584.0,,,,,CH
CORE Wines GmbH,8102,Oberengstringen,ZH,1917.0,657.0,2574.0,,,,,CH
Sartal Solla Wein,3063,Ittigen,BE,1373.0,1193.0,2566.0,,,,,CH
TRIVIER Raide Zinc,1882,Gryon,VD,1546.0,1018.0,2564.0,,,,,CH
Nativa Wine GmbH,3008,Bern,BE,1394.0,1163.0,2557.0,,,,,CH
La Cave Gourmande Sàrl,1207,Genève,GE,1733.0,818.0,2551.0,,,,,CH
Elmiger Weine,6300,Zug,ZG,2238.0,306.0,2544.0,,,,,CH
Klose Import Export,3007,Bern,BE,1764.0,779.0,2543.0,,,,,CH
GAND SAGL,6992,Cimo,TI,1589.0,948.0,2537.0,,,,,CH
Q11 AG,6333,Hünenberg See,ZG,2445.0,86.0,2531.0,,,,,CH
ViniLux Sàrl,1204,Genève,GE,1948.0,582.0,2530.0,,,,,CH
Insieme AG,9496,Balzers,FL,1902.0,626.0,2528.0,,,,,LI
KATRÉPICES Sàrl,1204,Genève,GE,1396.0,1127.0,2523.0,,,,,CH
NOA Naturally Organic Agriculture GmbH,8572,Berg TG,TG,815.0,1708.0,2523.0,,,,,CH
Lorel Hardi Le Beuillon & Braguette,2300,La Chaux-de-Fonds,NE,2365.0,155.0,2520.0,,,,,CH
Les Crus d'Origine SA,1006,Lausanne,VD,1502.0,1014.0,2516.0,,,,,CH
Le Monde est à Vous Sàrl,1196,Gland,VD,2514.0,0.0,2514.0,,,,,CH
Vinarius GmbH,8404,Winterthur,ZH,2042.0,469.0,2511.0,,,,,CH
"Weine ""SamPietro"" Ammon Samuel",3629,Oppligen,BE,2322.0,189.0,2511.0,,,,,CH
GeorgeTheGreek Rizomarkos,4053,Basel,BS,825.0,1685.0,2510.0,,,,,CH
Pinc Consulting SA,6830,Chiasso,TI,1878.0,629.0,2507.0,,,,,CH
Corbeau AG,6005,Luzern,LU,2493.0,9.0,2502.0,,,,,CH
Alfredo Torres,1872,Troistorrents,VS,2308.0,189.0,2497.0,,,,,CH
Soul of Wines AG,6300,Zug,ZG,2494.0,0.0,2494.0,,,,,CH
Vinatero Candrian,7000,Chur,GR,1979.0,513.0,2492.0,,,,,CH
Western Cape Wines GmbH,8310,Kemptthal,ZH,1376.0,1116.0,2492.0,,,,,CH
International Hotel Investments Ltd.,1201,Genève,GE,1852.0,635.0,2487.0,,,,,CH
Il bianco e il nero GmbH,6014,Luzern,LU,1646.0,819.0,2465.0,,,,,CH
Frohsinngesellschaft Stans,6374,Buochs,NW,1445.0,1013.0,2458.0,,,,,CH
Paulus Weinhaus Molnar,8185,Winkel,ZH,1013.0,1444.0,2457.0,,,,,CH
ASSOCIATION DE LA BARONNIE SUISSE DES,1817,Brent,VD,1882.0,560.0,2442.0,,,,,CH
Vini Virgilio SA,1034,Boussens,VD,990.0,1431.0,2421.0,,,,,CH
Eleonis Weine Dailianis,8610,Uster,ZH,1395.0,1022.0,2417.0,,,,,CH
Paolo Basso Wine Sagl,6853,Ligornetto,TI,605.0,1805.0,2410.0,,,,,CH
Cantina Banzi GmbH,8053,Zürich,ZH,2133.0,270.0,2403.0,,,,,CH
Pascal Wine & Food Sàrl,1110,Morges,VD,1688.0,712.0,2400.0,,,,,CH
Passiovino GmbH,9500,Wil SG,SG,1762.0,627.0,2389.0,,,,,CH
Agostinis Weine,4054,Basel,BS,1107.0,1277.0,2384.0,,,,,CH
PUKSAR - VINS,1400,Yverdon-les-Bains,VD,2134.0,248.0,2382.0,,,,,CH
TIpack Group SA,6982,Agno,TI,1625.0,737.0,2362.0,,,,,CH
fh-Wein und Design Inh. Reto,8280,Kreuzlingen,TG,311.0,2042.0,2353.0,,,,,CH
Enoteca Per Te GmbH,3800,Interlaken,BE,1498.0,855.0,2353.0,,,,,CH
DIVINOS Vincenzo Di Rosa,6900,Lugano,TI,1940.0,409.0,2349.0,,,,,CH
NEGEV DESERT WEINSTEIN,1203,Genève,GE,2004.0,335.0,2339.0,,,,,CH
Intempérance Vins Sàrl,1206,Genève,GE,1647.0,675.0,2322.0,,,,,CH
Vinvilla Meier,4718,Holderbank SO,SO,2088.0,225.0,2313.0,,,,,CH
Limestone Consulting SA,1247,Anières,GE,2156.0,146.0,2302.0,,,,,CH
Klein aber Wein GmbH,4500,Solothurn,SO,2099.0,203.0,2302.0,,,,,CH
Yerewines GmbH,4057,Basel,BS,1584.0,716.0,2300.0,,,,,CH
AL Import SA,1228,Plan-les-Ouates,GE,1736.0,564.0,2300.0,,,,,CH
F et J Galloni SA,1907,Saxon,VS,2141.0,158.0,2299.0,,,,,CH
MAGLO AG,4144,Arlesheim,BL,1406.0,886.0,2292.0,,,,,CH
Grandeau Biovinum,4125,Riehen,BL,749.0,1541.0,2290.0,,,,,CH
PUROPIEMONTE GMBH,3186,Düdingen,FR,2143.0,144.0,2287.0,,,,,CH
STARGET Sagl,6900,Lugano,TI,1350.0,927.0,2277.0,,,,,CH
Vins Maior's Teixeira,1020,Renens VD,VD,2090.0,171.0,2261.0,,,,,CH
Vini Vari GmbH,5452,Oberrohrdorf,AG,1877.0,374.0,2251.0,,,,,CH
Gastrobetriebe Tirez GmbH,5620,Bremgarten AG,AG,1778.0,473.0,2251.0,,,,,CH
Marco António de Sousa Martins,2400,Le Locle,NE,450.0,1800.0,2250.0,,,,,CH
Pavin AG,8404,Winterthur,ZH,2250.0,0.0,2250.0,,,,,CH
Mandurino GmbH,8400,Winterthur,ZH,2250.0,0.0,2250.0,,,,,CH
U'CAVALIR. DI PETTA SAVERIO,8105,Regensdorf,ZH,1269.0,977.0,2246.0,,,,,CH
Don Berna Group Sàrl,1224,Chêne-Bougeries,GE,1798.0,448.0,2246.0,,,,,CH
BJB Trading GmbH,3186,Düdingen,FR,1597.0,642.0,2239.0,,,,,CH
Zürcher-Gehrig AG,6318,Walchwil,ZG,752.0,1485.0,2237.0,,,,,CH
Vinomondo GmbH,6044,Udligenswil,LU,1352.0,877.0,2229.0,,,,,CH
VITAN SAGL,6900,Lugano,TI,1463.0,756.0,2219.0,,,,,CH
C.P.I. SWITZERLAND LTD London,8055,Zürich,ZH,1862.0,351.0,2213.0,,,,,CH
Eudora Management & Consulting Sagl,6900,Lugano,TI,1254.0,954.0,2208.0,,,,,CH
Appezölle Wychischte GmbH,9050,Appenzell,AR,1530.0,675.0,2205.0,,,,,CH
Tradema AG,8280,Kreuzlingen,TG,1665.0,540.0,2205.0,,,,,CH
Mülhaupt & Cie SA,1032,Romanel-sur-Lausanne,VD,1980.0,225.0,2205.0,,,,,CH
IL MECENATE di Viano Aurora,6962,Viganello,TI,1488.0,713.0,2201.0,,,,,CH
Variis GmbH,8260,Stein am Rhein,SH,2036.0,162.0,2198.0,,,,,CH
X-Fund Global AG,6340,Baar,ZG,1712.0,486.0,2198.0,,,,,CH
EasyVins Sàrl,1032,Romanel-sur-Lausanne,VD,2012.0,180.0,2192.0,,,,,CH
LO Suisse AG,2502,Biel/Bienne,BE,824.0,1367.0,2191.0,,,,,CH
Manuels Weinauslese GmbH,6014,Luzern,LU,815.0,1364.0,2179.0,,,,,CH
EMconsulting - Manzon,3232,Ins,BE,1697.0,482.0,2179.0,,,,,CH
Peter Pisan,4116,Metzerlen,SO,963.0,1215.0,2178.0,,,,,CH
BAMBOCHE KLG,3012,Bern,BE,1315.0,857.0,2172.0,,,,,CH
PD Dolciumi SA,6572,Quartino,TI,859.0,1311.0,2170.0,,,,,CH
vino&tavola GmbH,5057,Reitnau,AG,1760.0,410.0,2170.0,,,,,CH
CANTINE NESTA par Giuseppe Nesta,1964,Conthey,VS,1805.0,360.0,2165.0,,,,,CH
Euroventures Management SA,1219,Aïre,GE,2136.0,23.0,2159.0,,,,,CH
Crowd Container AG,8003,Zürich,ZH,485.0,1672.0,2157.0,,,,,CH
Cina Gilles & Joël GmbH,3970,Salgesch,VS,675.0,1481.0,2156.0,,,,,CH
Esco-Plast Schondorff & Co,3718,Kandersteg,BE,1619.0,531.0,2150.0,,,,,CH
Cave BB Alexander E. Bäggli AG,8126,Zumikon,ZH,1879.0,270.0,2149.0,,,,,CH
Le Mareys Weine GmbH,8152,Opfikon,ZH,1463.0,675.0,2138.0,,,,,CH
vinothek wine-insider.ch GmbH,4900,Langenthal,BE,1607.0,527.0,2134.0,,,,,CH
Weinpur.ch GmbH,6330,Cham,ZG,1653.0,479.0,2132.0,,,,,CH
Theo Terzis Latin Music Shop,6043,Adligenswil,LU,0.0,2102.0,2102.0,,,,,CH
D13.wine GmbH,6330,Cham,ZG,1962.0,135.0,2097.0,,,,,CH
Jean Paul Dieing,1920,Martigny,VS,1952.0,144.0,2096.0,,,,,CH
Château Constellation SA,1950,Sion 4,VS,2046.0,50.0,2096.0,,,,,CH
Blu Sfera AG,6330,Cham,ZG,135.0,1958.0,2093.0,,,,,CH
klarazehn GmbH,4058,Basel,BS,473.0,1620.0,2093.0,,,,,CH
PANCHAUD-KOLB Sàrl,1410,St-Cierges,VD,2091.0,0.0,2091.0,,,,,CH
RED distribution SA,1207,Genève,GE,1878.0,203.0,2081.0,,,,,CH
Donna Cristina di C. Guarino,5212,Hausen AG,AG,1427.0,653.0,2080.0,,,,,CH
Zweifel & Co. AG,8049,Zürich,ZH,2076.0,0.0,2076.0,,,,,CH
ERO vins Trittibach,1009,Pully,VD,1661.0,410.0,2071.0,,,,,CH
Port Francs Vins Nicolas Isler,2012,Auvernier,NE,1518.0,547.0,2065.0,,,,,CH
ORIGINS WINE,1226,THÔNEX,GE,1456.0,608.0,2064.0,,,,,CH
La Bottega Italia SA,1204,Genève,GE,1318.0,734.0,2052.0,,,,,CH
THE HUT SA,7513,Silvaplana,GR,1627.0,423.0,2050.0,,,,,CH
Tavasci Fratelli,6537,Grono,GR,486.0,1557.0,2043.0,,,,,CH
AMBITION AG,8505,Dettighofen,TG,1925.0,117.0,2042.0,,,,,CH
La part des anges - Vins fins - José,2000,Neuchâtel,NE,1521.0,513.0,2034.0,,,,,CH
Interkran AG,6345,Neuheim,ZG,675.0,1350.0,2025.0,,,,,CH
italtours ag,3011,Bern,BE,1633.0,392.0,2025.0,,,,,CH
Cave chez Nathalie Sàrl,1450,Ste-Croix,VD,1651.0,369.0,2020.0,,,,,CH
Mzansi Wines by Philemon,8604,Volketswil,ZH,1350.0,666.0,2016.0,,,,,CH
Wallberg AG,8604,Volketswil,ZH,1688.0,324.0,2012.0,,,,,CH
INLUXURY SA,6948,Porza,TI,2012.0,0.0,2012.0,,,,,CH
Marino Wein & Spirituosen GmbH,4142,Münchenstein,BL,1277.0,734.0,2011.0,,,,,CH
Stoppervini Sagl,6900,Lugano,TI,905.0,1093.0,1998.0,,,,,CH
Sequerciani Svizzera GmbH,6300,Zug,ZG,1413.0,585.0,1998.0,,,,,CH
Casa Tonelly Italienische Weine,4414,Füllinsdorf,BL,1403.0,594.0,1997.0,,,,,CH
Austrowein GmbH,8057,Zürich,ZH,1854.0,135.0,1989.0,,,,,CH
Ronchi Biaggi Sagl,6593,Cadenazzo,TI,1988.0,0.0,1988.0,,,,,CH
Divinum Martinelli,8006,Zürich,ZH,1418.0,563.0,1981.0,,,,,CH
Danivin Dula,1636,Broc,FR,1767.0,207.0,1974.0,,,,,CH
Selsaco Selezione Sartorio GmbH,8630,Rüti ZH,ZH,1580.0,392.0,1972.0,,,,,CH
LE K-VO Sàrl,1733,Treyvaux,FR,1812.0,158.0,1970.0,,,,,CH
Robi's Enoteca GmbH,4532,Feldbrunnen,SO,1736.0,231.0,1967.0,,,,,CH
VIGNE PORTUGAISE SA,1206,Genève,GE,1656.0,306.0,1962.0,,,,,CH
MOVI Mode und Wein Theres Koch,8735,St. Gallenkappel,SG,940.0,1016.0,1956.0,,,,,CH
canoobio consulting gmbh,8915,Hausen am Albis,ZH,1539.0,413.0,1952.0,,,,,CH
proMagX GmbH,6410,Goldau,SZ,1634.0,315.0,1949.0,,,,,CH
Velkov Importation,1024,Ecublens VD,VD,1341.0,605.0,1946.0,,,,,CH
Sägewerk Christen AG Luthern,6156,Luthern Dorf,LU,1578.0,360.0,1938.0,,,,,CH
Olivino GmbH,9015,St. Gallen,SG,847.0,1091.0,1938.0,,,,,CH
Blaser Getränke AG,8280,Kreuzlingen,TG,720.0,1215.0,1935.0,,,,,CH
Witschi Weine GmbH,9014,St. Gallen,SG,1193.0,738.0,1931.0,,,,,CH
DiVinum Weinimporte GmbH,8006,Zürich,ZH,1049.0,882.0,1931.0,,,,,CH
Taradel Sàrl,1227,Les Acacias,GE,1922.0,0.0,1922.0,,,,,CH
El Rey del Jamon,1202,Genève,GE,1823.0,99.0,1922.0,,,,,CH
Vioujas Angéle,2610,St-Imier,BE,1649.0,270.0,1919.0,,,,,CH
Elmio Fringeli,2853,Courfaivre,JU,1535.0,383.0,1918.0,,,,,CH
Weine Paic,6004,Luzern,LU,899.0,1017.0,1916.0,,,,,CH
Bruno De Luca,6500,Bellinzona,TI,1050.0,865.0,1915.0,,,,,CH
Reserva Lounge GmbH,8001,Zürich,ZH,1340.0,572.0,1912.0,,,,,CH
L'angolo del vino Sagl,6710,Biasca,TI,687.0,1224.0,1911.0,,,,,CH
vinoverso GmbH,6300,Zug,ZG,585.0,1323.0,1908.0,,,,,CH
Weine Lauth,5600,Lenzburg,AG,868.0,1040.0,1908.0,,,,,CH
Rêve Du Sud SARL,8157,Dielsdorf,ZH,1772.0,135.0,1907.0,,,,,CH
Splendeurs du Globe Franco Colantuono,1522,Lucens,VD,1773.0,131.0,1904.0,,,,,CH
Vinique GmbH,8134,Adliswil,ZH,1045.0,857.0,1902.0,,,,,CH
Chrüterhüsli AG,4051,Basel,BS,1900.0,0.0,1900.0,,,,,CH
Weinhandel Il Grottino del Vino,8408,Winterthur,ZH,1548.0,351.0,1899.0,,,,,CH
The BodegA AG,6374,Buochs,NW,1899.0,0.0,1899.0,,,,,CH
Parente Wein Import,5524,Nesselnbach,AG,1895.0,0.0,1895.0,,,,,CH
Meilis Weinwelt,8484,Weisslingen,ZH,1428.0,466.0,1894.0,,,,,CH
adhhoc GmbH,3904,Naters,VS,1597.0,297.0,1894.0,,,,,CH
Don Bosco Jugendhilfe Weltweit,6215,Beromünster,LU,1638.0,252.0,1890.0,,,,,CH
Heidi Dieing,1920,Martigny,VS,1813.0,74.0,1887.0,,,,,CH
Xico SA,1095,Lutry,VD,1446.0,441.0,1887.0,,,,,CH
Sanisa GmbH,8634,Hombrechtikon,ZH,1352.0,533.0,1885.0,,,,,CH
Nagel Weinhandels GmbH,6333,Hünenberg See,ZG,953.0,929.0,1882.0,,,,,CH
Restaurant Orologio Gendrat,2300,La Chaux-de-Fonds,NE,1394.0,485.0,1879.0,,,,,CH
Lorze AG,6340,Baar,ZG,1278.0,594.0,1872.0,,,,,CH
winelab 5400 GmbH,5400,Baden,AG,400.0,1469.0,1869.0,,,,,CH
Fortuna Feinkost GmbH,8400,Winterthur,ZH,1548.0,315.0,1863.0,,,,,CH
Wein-Partner GmbH,4323,Wallbach,AG,1067.0,794.0,1861.0,,,,,CH
CCD Carpe Diem Zweigniederlassung,6047,Kastanienbaum,LU,1415.0,441.0,1856.0,,,,,CH
Best of Georgia & More GmbH,3400,Burgdorf,BE,1359.0,495.0,1854.0,,,,,CH
Wine-culture,8253,Diessenhofen,TG,1643.0,189.0,1832.0,,,,,CH
Alpha Vina GmbH,6375,Beckenried,NW,1136.0,687.0,1823.0,,,,,CH
26 GmbH,8003,Zürich,ZH,1254.0,563.0,1817.0,,,,,CH
GT Wines Sàrl,1225,Chêne-Bourg,GE,1348.0,468.0,1816.0,,,,,CH
Francesco Cristian Amoroso,6595,Riazzino,TI,1302.0,513.0,1815.0,,,,,CH
ANB Groupe Sàrl,1483,Vesin,FR,1814.0,0.0,1814.0,,,,,CH
Au 14° Cave à Vin - Montandon & Cie,2316,Ponts-de-Martel,NE,1320.0,482.0,1802.0,,,,,CH
Casa Resende - A. Da Silva Sàrl,2300,La Chaux-de-Fonds,NE,1350.0,450.0,1800.0,,,,,CH
ADN Brands Sàrl,1562,Corcelles-près-Payerne,VD,900.0,900.0,1800.0,,,,,CH
Activ'Pro Management SA,1242,Satigny,GE,1800.0,0.0,1800.0,,,,,CH
Vino Vario Alfons Hollenstein,9200,Gossau SG,SG,366.0,1418.0,1784.0,,,,,CH
AdminProfi Giaccone,6221,Rickenbach LU,LU,1342.0,432.0,1774.0,,,,,CH
